wall_time,rel_time,payload_t,root_x,root_y,root_z,stream_id,step_m
1779872160.236403,6.580953,514.260071,-4.217028,2.324346,0.847945,1779872160236-0,0.001143
1779872160.257904,6.602453,514.280029,-4.217500,2.324442,0.848110,1779872160256-0,0.000509
1779872160.286973,6.631523,514.300049,-4.217265,2.324353,0.848309,1779872160276-0,0.000321
1779872160.296358,6.640908,514.320129,-4.216563,2.324113,0.848828,1779872160296-0,0.000905
1779872160.316388,6.660937,514.340027,-4.216191,2.324003,0.849060,1779872160316-0,0.000452
1779872160.336350,6.680899,514.360046,-4.215321,2.323780,0.849524,1779872160336-0,0.001011
1779872160.356339,6.700888,514.380066,-4.214658,2.323629,0.849820,1779872160356-0,0.000741
1779872160.376732,6.721281,514.400085,-4.211007,2.322642,0.851006,1779872160376-0,0.003964
1779872160.406255,6.750805,514.420044,-4.206167,2.321349,0.852371,1779872160396-0,0.005192
1779872160.416325,6.760875,514.440063,-4.198211,2.319534,0.854076,1779872160416-0,0.008337
1779872160.436417,6.780967,514.460083,-4.193134,2.318570,0.854685,1779872160436-0,0.005203
1779872160.456454,6.801004,514.480042,-4.186944,2.317643,0.854699,1779872160456-0,0.006259
1779872160.476507,6.821057,514.500061,-4.184160,2.317331,0.854403,1779872160476-0,0.002817
1779872160.496341,6.840891,514.520081,-4.180836,2.317194,0.852922,1779872160496-0,0.003641
1779872160.517013,6.861562,514.540588,-4.179317,2.316875,0.851819,1779872160516-0,0.001905
1779872160.536394,6.880943,514.560059,-4.178455,2.315480,0.849932,1779872160536-0,0.002500
1779872160.556644,6.901194,514.580078,-4.177752,2.313888,0.848659,1779872160556-0,0.002156
1779872160.576719,6.921268,514.600220,-4.176431,2.311077,0.846621,1779872160576-0,0.003715
1779872160.596434,6.940984,514.620117,-4.175693,2.309746,0.845565,1779872160596-0,0.001853
1779872160.622763,6.967312,514.640076,-4.173543,2.307586,0.843507,1779872160616-0,0.003677
1779872160.636549,6.981099,514.660095,-4.170976,2.306628,0.842136,1779872160636-0,0.003064
1779872160.656587,7.001137,514.680054,-4.170190,2.305963,0.840432,1779872160656-0,0.001991
1779872160.676661,7.021211,514.700073,-4.170905,2.305672,0.839856,1779872160676-0,0.000963
1779872160.696435,7.040985,514.720032,-4.174003,2.304137,0.838336,1779872160696-0,0.003777
1779872160.716296,7.060846,514.740051,-4.174221,2.303329,0.837771,1779872160716-0,0.001010
1779872160.741636,7.086185,514.760132,-4.175034,2.300852,0.836605,1779872160736-0,0.002856
1779872160.756384,7.100934,514.780090,-4.175457,2.299632,0.836160,1779872160756-0,0.001366
1779872160.776430,7.120980,514.800049,-4.175643,2.296495,0.834973,1779872160776-0,0.003359
1779872160.796371,7.140921,514.820068,-4.174887,2.294882,0.834283,1779872160796-0,0.001911
1779872160.816426,7.160976,514.840027,-4.173815,2.291121,0.832767,1779872160816-0,0.004194
1779872160.841935,7.186485,514.860168,-4.174767,2.288631,0.831982,1779872160836-0,0.002780
1779872160.856582,7.201132,514.880066,-4.175688,2.285061,0.831054,1779872160856-0,0.003802
1779872160.876616,7.221166,514.900085,-4.176807,2.283244,0.830753,1779872160876-0,0.002155
1779872160.896349,7.240899,514.920044,-4.177357,2.280825,0.830392,1779872160896-0,0.002506
1779872160.916550,7.261100,514.940063,-4.177017,2.277346,0.829941,1779872160916-0,0.003525
1779872160.942381,7.286931,514.960083,-4.177165,2.276146,0.829866,1779872160936-0,0.001211
1779872160.957080,7.301629,514.980042,-4.177895,2.274395,0.829924,1779872160956-0,0.001899
1779872160.976585,7.321135,515.000061,-4.178232,2.273974,0.829989,1779872160976-0,0.000543
1779872160.996521,7.341070,515.020020,-4.179160,2.272733,0.830262,1779872160996-0,0.001573
1779872161.016382,7.360932,515.040039,-4.178335,2.270765,0.830535,1779872161016-0,0.002151
1779872161.036318,7.380868,515.060059,-4.177220,2.269449,0.830693,1779872161036-0,0.001732
1779872161.061602,7.406152,515.080322,-4.177089,2.267252,0.831441,1779872161056-0,0.002324
1779872161.076439,7.420988,515.100037,-4.177314,2.266156,0.831921,1779872161076-0,0.001218
1779872161.096614,7.441164,515.120056,-4.177935,2.263795,0.833073,1779872161096-0,0.002699
1779872161.116651,7.461201,515.140076,-4.177776,2.262724,0.833554,1779872161116-0,0.001185
1779872161.136458,7.481008,515.160034,-4.177398,2.260744,0.834541,1779872161136-0,0.002244
1779872161.161116,7.505665,515.180054,-4.177210,2.259638,0.835228,1779872161156-0,0.001315
